,0,1,2,3
29,sepultura,Schizophrenia,Troops Of Doom,"Total eclipse hides the earth
The night of doom has come
Antichrist soldiers are proclaimed
To send souls to Hell

Catastrophe and destruction
Mankind is slaughtered without mercy
Sulphur clouds are in the air
Legions winds corrode the universe

The messiah, redeemers of mankind
Chained in the valley of Hades
Crowds blinded by evil
Only death is real
Total destruction
Walls of churches
Stained by blood
Altars burning in the flames
The doom cries out for insanity

The nuclear war announces the end of the world
The mankind is buried and forgotten
Prophets foresee the doom
They foresee the triumph of your death"
30,sepultura,Schizophrenia,The Past Reborns The Storms,"The sky throws up storms trying to avenge itself
You feel a pain that burns your flesh
Your reflection inside the mirror
Shows a past soiled by the blood of innocents
The human greed will be their own destruction
The apes in their cages surrounded by thorns
That are forcing us to live here

I feel an urge to melt and go through cracks
To vanish like a fossil that will be found
Flying on the universe
Brains of armed lives hidden in pits
It's a fight of dwarves strengthening the giants
They are sons of the same father, fruit of the same mother
All of them cry together in despair

But what's heard is only the buzz of flies
Over the rotten flesh
There's no more safe ground to be on
Everybody around you reflects an image
Distorted and wounded
I can hear the cry of a million souls
That have been already marked by their deaths
While the laughs of satisfaction echo endlessly...

Insanity - laceraring the last sanity
Endlessly - still remains on minds
Lunacy - masses smashed by a holy shit
No regret - from the past comes the storms

The sky throws up storms trying to avenge itself
You feel a pain that burns your flesh
Your reflection inside the mirror
Shows a past soiled by the blood of innocents
The human greed will be their own destruction
The apes in their cages surrounded by thorns
That are forcing us to live here"
31,sepultura,Schizophrenia,Septic Schizo,"At the time of my last pain
I scream, so I can run away
What I see in front of me
Is only the reflection of my insanity

Throwing me to the present
Alone almost is despair
My head throws itself against the wall
Making my blood flow free of me
To be born again, it'll be a sad destiny
To seek death when it's inside of myself
I throw up trying to put it out
I try to sleep sitting on the cold ground

Reminders from the past
Repulsion of the present
Fear of the future
Septic schizo

Reminders from the past
Repulsion of the present
Fear of the future
Septic schizo

Reminders from the past
Repulsion of the present
Fear of the future
Septic schizo

Stained by blood on the face
I see that my life goes by in front of me
As an old movie, I feel not proud
Of anything I've done
I scorn myself with anguish

My nerves are blowing
Inside of me my skin burns
I sink my toes on the ground
I wanna quit; but I don't wanna enter another place

I'm marked and wounded, the decaying of my thoughts
The rotten smell on my skin
The cold body, thrown and forgotten
I can see the things, but I'm blinded to the world..."
32,sepultura,Schizophrenia,To The Wall,"""To the wall!"" claims the soldier
My last steps march to the dead
Last wills! Hell! This is idiotism
Fuck off to me, fuck off to all of you

To the death, I raise my head
My last moments, it's my existing countdown
A cry for mercy trapped in my throat
But even in hell, there's a place for cowards

The burning sun over my head
The troop is comin', compassion I dismiss
Sentence of death pounding on my back
There's no hiding when you're thrown against the wall

""To Paradise,"" the priest is saying, blessing my death
He's standing in front of me, his merciful sight sickens me
He says that soon I'll have my judgement
I'll kneel down in front of the Lord

And he asks me to regret my sins, but it's too late
Growling words from the bible, raising my agony
Oh God! How I'd like to have my hands untied

The wall I'm facing now
Seeing my life going through my eyes
Feeling death behind my back
An acrid taste of defeat tormenting my last years
And when I feel my body being punched, smashed
There's no pain, just silence
My last breath echoing, spreading through the air
My body in pieces, a stream of blood

Bloody drops whipping the wall
The silent wall that has understood my silence
The silence that was a prisoner of my soul
Is my soul that now is the ruler of the world

To the wall"
33,sepultura,Beneath the Remains,Beneath The Remains,"In the middle of a war
That was not started by me
Deep depression of the nuclear remains
I've never thought it
I've never thought about
This happening to me
Proliferations of ignorance
Orders that stand to destroy
Battlefields and slaughter
Now they mean my home and work

Who has won?
Who has died?
Beneath the remains

Cities in ruins
Bodies packed on minefields
Neurotic game of life and death 
Now I can feel the end
Premonition about my final hour
A sad image of everything
Everything's so real

Who has won?
Who has died?

Everything happened so quickly
I felt I was about to leave hell
I'll fight for myself, for you, but so what?

To feel a deep hate
To feel scared
But beyond that, to wish being at an end
Clotted blood
Mass mutilation
Hope for the future is only Utopia

Mortality, insanity, fatality
You'll never want to feel what I've felt
Mediocrity, brutality, and falsity
It's just a world against me

Cities in ruins
Bodies packed on minefields
Neurotic game of life and death
Now I can feel the end
Premonition about my final hour
A sad image of everything
Everything's so real

Who has won?
Who has died?
Beneath the remains"
34,sepultura,Beneath the Remains,Inner Self,"Walking these dirty streets
With hate in my mind
Feeling the scorn of the world
I won't follow your rules

Blame and lies, contradictions arise
Blame and lies, contradictions arise

Nonconformity in my inner self
Only I guide my inner self

I won't change my way 
It has to be this way
I live my life for myself
Forget your filthy ways

Blame and lies, contradictions arise
Blame and lies, contradictions arise

Nobody will change my way 
Life betrays, but I keep going
There's no light, but there's hope
Crushing oppression, I win

Betraying and playing dirty, you think you'll win
But someday you'll fall, and I'll be waiting
Laughs of an insane man, you'll hear
Personality is my weapon against your envy

Walking these dirty streets 
With hate in my mind
Feeling the scorn of the world
I won't follow your rules

Nonconformity in my inner self
Only I guide my inner self"
35,sepultura,Beneath the Remains,Stronger Than Hate,"I shall redeem myself from
The clutches that grasp at my inner self
No tomorrow will ease my oppression
My streak of hate leads my way

Look at me
My feelings turn
Stronger than hate

I can't decide on which way to turn
My choices are few and far between

Look at me
My feelings turn
Stronger than hate

I can't decide on which way to turn
My choices are few and far between

A lifetime of remorse
There's no place that I've never been

Go

I stand above the remains
My vengeance I have regained
I don't know what lies on the floor
I won't be locked anymore

Standing here, I've lost all faith
I have no social equality
To live again would be a lie
My life is not worth the pain"
36,sepultura,Beneath the Remains,Mass Hypnosis,"Looking inside, your future uncertain
The fear grows as a sickness uncured
The silence agonizes, the words sound strong
Look inside the eyes, leave this world

Hate through the arteries
Mass hypnosis

Uncertain of being back
They make you feel so good
Everything's darkened
Obey like a fool

Hate through the arteries
Mass hypnosis

Soldiers going nowhere
Believers kneeling over their sins
Inhuman instinct of cowardly leaders
Make the world go their own way

Tens of thousands hypnotized
Trying to find a reason why
Look inside your empty eyes
Obey till the end

Looking inside, your future uncertain
The fear grows as a sickness uncured
The silence agonizes, the words sound strong
Look inside the eyes, leave this world

Hate through the arteries
Mass hypnosis

Soldiers going nowhere
Soldiers blinded by their faith"
37,sepultura,Beneath the Remains,Sarcastic Existence,"Humidity could be felt on the walls
Touched with the palm and used to scare
They used to sweat, they used to stink
Everything swamped and hot

But in the corner, laying on a bed
A cold piece, made to stay alive
Trapped within its body
It could not think anymore

Thoughts of times of sanity
The world was isolated
Where the sun would salute him
And the night was violent

Fear and guilt
Invade the corners of the room
Pain was felt constantly
They keep on destroying

It could be seen through the window
The eye of disgust and scorn
When you hear the laugh of a madman
That's about to die

To suffer alone in disgrace
His hate is his own
Always hating being alive
Sarcastic existence"
38,sepultura,Beneath the Remains,Slaves Of Pain,"All of us are victims
Confined by enigmas
Without solution
Your frozen thoughts don't let you evolve
A prisoner of your own trap
Slaves of an infinite pain
What will be the limit?
What will be the end?

Life ends
Feeling death
Slaves of pain

Life ends
Feeling death
Slaves of pain

Seeking new paths
Don't be tied to your mistakes
Run away from this
Uncured sickness
Open your eyes
Don't lose your steps
Liberty is a dream
And it is also real

To die, to run away
To forget what I've been
To erase my past
To kill my guilt

Life ends
Feeling death
Slaves of pain"
39,sepultura,Beneath the Remains,Lobotomy,"I've seen you fighting through the time
I've followed your steps, full of pain
Unnamed hero that's challenged the human ego
Victim of cowardice

Of strong manipulation
A system that was made to lie and to deceive
Screams of agony
Satisfy the proud

But these screams still echo inside the conscience
Contradiction, aggression, desolation, illusion
Nonconformity takes my mind
Too much injustice to forget so fast

My disgust is greater than my compassion
Feel the pain upon my final hour
Self-blame can't hurt me
Eye for an eye

You receive your just reward
Now I'll live my life with indifference
I've tortured without remorse
I've slaughtered without fear

Brain killing brain
Brain killing brain
Brain killing brain"
40,sepultura,Beneath the Remains,Hungry,"Rotting skinny corpses left alone
They're like an endless disease
Invisible, painful, eternal
Creatures fucked by a greedy past

Since you were born
You want to make money and power
A simple fuel to the corrupt
Way of mankind

Hungry for living, to live like a slave
Without knowing your master
You have no value, you're just another one
Death will quench your hunger

Hunger for confidence
To shake the hand of your best friend
And later to be betrayed
The law rules the mind of ignorance

Hungry for pleasure
You act like a robot
The tears in your eyes
As red as blood

Your pleasure is pain
Your pleasure is torture
Hunger is your pleasure
Hungry for the future"
41,sepultura,Beneath the Remains,Primitive Future,"I follow the steps in front of me
They are deep and well-defined
They show an undefined but straight path
What has been will never return

Future won't let me look back
I just walk, I don't evolve, I just walk
Animals run by my side
They communicate, each one in its own way
But I can't understand
I feel alone on this irrational planet
To create or just observe
I keep walking on this desert made of ideas
Primitive future

My head is heavy but empty
Everything around me is void
Without movement, without perspective
The night invades the sky
That darkness, the dry ground
Makes shadow join the big stain that's forming
Steps on skulls of generations
And harbored eyes

I hear painful cries of wars that are to come
To create everything again, from the beginning
To teach new minds
To awake a sleeping giant buried
On the ashes of disgrace

It's sinful the way I live
I look well, I think I'm well
That's all...

I follow the steps I see in front of me
They are deep and well-defined
They show an undefined but straight path
What has gone through me will never return
Primitive future"
42,sepultura,Beneath the Remains,A Hora E A Vez Do Cabelo Nascer,"Venha ver as minhas cores
Ah... tá na hora do cabelo nascer
Hateei o meu cabelo
Ah... foi ai só que
Fiquei sabendo das coisas

O meu cabelo é verde-amarelo
Violeta e transparente
A minha caspa é de purpurina
Minha barba azul-anil"
43,sepultura,Beneath the Remains,Inner Self (Drum Tracks),"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld "" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
